Starting collecting data from https://romy.pythonanywhere.com/check/

--- Checking position 1 ---
https://romy.pythonanywhere.com/check/           ^
POS: 4 | CHAR: 9 | TIME: 1.8178423345088959
POS: 4 | CHAR: 0 | TIME: 1.8220942318439484

--- Checking position 5 ---
https://romy.pythonanywhere.com/check/       ^^^^^
POS: 5 | CHAR: a | TIME: 1.7547858953475952
POS: 5 | CHAR: b | TIME: 1.8459590077400208
POS: 5 | CHAR: c | TIME: 1.7933790286382039
POS: 5 | CHAR: d | TIME: 1.8346064686775208
POS: 5 | CHAR: e | TIME: 1.8273611068725586
POS: 5 | CHAR: f | TIME: 1.8456057480403356
POS: 5 | CHAR: g | TIME: 1.8215956687927246
POS: 5 | CHAR: h | TIME: 1.8599773645401
POS: 5 | CHAR: i | TIME: 1.815532386302948
POS: 5 | CHAR: j | TIME: 1.8227043549219768
POS: 5 | CHAR: k | TIME: 1.782374620437622
POS: 5 | CHAR: l | TIME: 1.874314695596695
POS: 5 | CHAR: m | TIME: 1.7093426883220673
POS: 5 | CHAR: n | TIME: 1.8081794381141663
POS: 5 | CHAR: o | TIME: 1.8547618985176086
POS: 5 | CHAR: p | TIME: 1.8578223841530936
POS: 5 | CHAR: q | TIME: 1.822908729314804
POS: 5 | CHAR: r | TIME: 1.8457475503285725
POS: 5 | CHAR: s | TIME: 1.9125781953334808
POS: 5 | CHAR: t | TIME: 1.8849879503250122
POS: 5 | CHAR: u | TIME: 1.8561815321445465
POS: 5 | CHAR: v | TIME: 1.8326293230056763
POS: 5 | CHAR: w | TIME: 1.8350852216993059
POS: 5 | CHAR: x | TIME: 1.8478919097355433
POS: 5 | CHAR: y | TIME: 1.859234869480133
POS: 5 | CHAR: z | TIME: 1.704573631286621
POS: 5 | CHAR: A | TIME: 1.8513376116752625
POS: 5 | CHAR: B | TIME: 1.8424684405326843
POS: 5 | CHAR: C | TIME: 1.8335088789463043
POS: 5 | CHAR: D | TIME: 1.8144402503967285
POS: 5 | CHAR: E | TIME: 1.778500965663365
POS: 5 | CHAR: F | TIME: 1.8512466847896576
POS: 5 | CHAR: G | TIME: 1.883164303643363
POS: 5 | CHAR: H | TIME: 1.8144710958003998
POS: 5 | CHAR: I | TIME: 1.8456357419490814
POS: 5 | CHAR: J | TIME: 1.7608982494899206
POS: 5 | CHAR: K | TIME: 1.829492598772049
POS: 5 | CHAR: L | TIME: 1.8328494131565094
POS: 5 | CHAR: M | TIME: 1.838247844151088
POS: 5 | CHAR: N | TIME: 1.8270655274391174
POS: 5 | CHAR: O | TIME: 1.8184716020311629
POS: 5 | CHAR: P | TIME: 1.876062313715617
POS: 5 | CHAR: Q | TIME: 1.8159361481666565
POS: 5 | CHAR: R | TIME: 1.8800113995869954
POS: 5 | CHAR: S | TIME: 1.835864245891571
POS: 5 | CHAR: T | TIME: 1.820031762123108
POS: 5 | CHAR: U | TIME: 1.8494116067886353
POS: 5 | CHAR: V | TIME: 1.8157461086908977
POS: 5 | CHAR: W | TIME: 1.858153223991394
POS: 5 | CHAR: X | TIME: 1.8450455367565155
POS: 5 | CHAR: Y | TIME: 1.8378160297870636
POS: 5 | CHAR: Z | TIME: 1.869097352027893
POS: 5 | CHAR: 1 | TIME: 1.7774187326431274
POS: 5 | CHAR: 2 | TIME: 1.683041125535965
POS: 5 | CHAR: 3 | TIME: 1.8524571827479772
POS: 5 | CHAR: 4 | TIME: 1.7073641163962228
POS: 5 | CHAR: 5 | TIME: 1.8818693161010742
POS: 5 | CHAR: 6 | TIME: 1.8360355922154017
POS: 5 | CHAR: 7 | TIME: 1.7056339383125305
POS: 5 | CHAR: 8 | TIME: 1.847866803407669
POS: 5 | CHAR: 9 | TIME: 1.8395666480064392
POS: 5 | CHAR: 0 | TIME: 1.8130750954151154

--- Checking position 6 ---
https://romy.pythonanywhere.com/check/      ^^^^^^
POS: 6 | CHAR: a | TIME: 1.8405104478200276
POS: 6 | CHAR: b | TIME: 1.8061805069446564
POS: 6 | CHAR: c | TIME: 1.8122851167406355
POS: 6 | CHAR: d | TIME: 1.8466594219207764
POS: 6 | CHAR: e | TIME: 1.8264172673225403
POS: 6 | CHAR: f | TIME: 1.8306023478507996
POS: 6 | CHAR: g | TIME: 1.8168612548283167
POS: 6 | CHAR: h | TIME: 1.8049758970737457
POS: 6 | CHAR: i | TIME: 1.8083318982805525
POS: 6 | CHAR: j | TIME: 1.7932603359222412
POS: 6 | CHAR: k | TIME: 1.7067994390215193
POS: 6 | CHAR: l | TIME: 1.82978954911232
POS: 6 | CHAR: m | TIME: 1.6744122207164764
POS: 6 | CHAR: n | TIME: 1.8644977297101701
POS: 6 | CHAR: o | TIME: 1.8172309739249093
POS: 6 | CHAR: p | TIME: 1.8093019127845764
POS: 6 | CHAR: q | TIME: 1.8362254415239607
POS: 6 | CHAR: r | TIME: 1.8178366124629974
POS: 6 | CHAR: s | TIME: 1.8320012390613556
POS: 6 | CHAR: t | TIME: 1.8831850290298462
POS: 6 | CHAR: u | TIME: 1.849873274564743
POS: 6 | CHAR: v | TIME: 1.8073654770851135
POS: 6 | CHAR: w | TIME: 1.8118174374103546
POS: 6 | CHAR: x | TIME: 1.8095519542694092
POS: 6 | CHAR: y | TIME: 1.8392955362796783
POS: 6 | CHAR: z | TIME: 1.6694764693578084
POS: 6 | CHAR: A | TIME: 1.8184815815516882
POS: 6 | CHAR: B | TIME: 1.7655171155929565
POS: 6 | CHAR: C | TIME: 1.8362279619489397
POS: 6 | CHAR: D | TIME: 1.7950085004170735
POS: 6 | CHAR: E | TIME: 1.8282149732112885
POS: 6 | CHAR: F | TIME: 1.8215854167938232
POS: 6 | CHAR: G | TIME: 1.8193755831037248
POS: 6 | CHAR: H | TIME: 1.8445849120616913
